Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"C1,C2,C3,C4,C5,C6,C7,C8",302010183,8
"C9,C10",302010103,2
"C11,C12",302010138,2
"J1,J2,J3,J4,J5,J6,J7,J8",43650-0400,8
J10,BPA08B,1
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16",RC0603JR-0733RL,16
SW1,1-1825027-1,1
U1,,1
"U2,U3","74HCT245PW,118",2
U4,CJT1117-3.3,1
U5,,1
